Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_per_adc_to_bnc\Project Outputs for UZ_Per_ADC_to_BNC\Rev02\Pick Place\Pick_and_Place_UZ_Per_ADC_to_BNC_Manufacturing_Rev02.csv

========================================================================================================================
File Design Information:

Date:       16.01.26
Time:       13:31
Revision:   0e07d2a23d3c2e04096de33264e67b48f577bff7
Variant:    Manufacturing
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C1D","C_0603_TE","27.9000","27.9000","74.2000","74.2000","27.9000","74.9700","0","10 nF","TopLayer"
"C1C","C_0603_TE","28.0000","28.0000","54.7300","54.7300","28.0000","55.5000","0","10 nF","TopLayer"
"C1B","C_0603_TE","28.0000","28.0000","34.7300","34.7300","28.0000","35.5000","0","10 nF","TopLayer"
"C1A","C_0603_TE","28.0000","28.0000","15.7700","15.7700","28.0000","15.0000","180","10 nF","TopLayer"
"R4","R_0603_TE","4.5000","4.5000","58.1300","58.1300","4.5000","58.8600","0","0R","TopLayer"
"R3","R_0603_TE","4.5000","4.5000","32.5700","32.5700","4.5000","31.8400","180","0R","TopLayer"
"R1D","R_0603_TE","30.7700","30.7700","75.0000","75.0000","31.5000","75.0000","270","0R","TopLayer"
"R1C","R_0603_TE","30.7700","30.7700","55.5000","55.5000","31.5000","55.5000","270","0R","TopLayer"
"R1B","R_0603_TE","30.7700","30.7700","35.5000","35.5000","31.5000","35.5000","270","0R","TopLayer"
"R1A","R_0603_TE","30.7700","30.7700","15.0000","15.0000","31.5000","15.0000","270","0R","TopLayer"
"J1D","Right_Angle_BNC","40.0000","42.5400","75.0000","75.0000","40.0000","75.0000","270","5227661-1","TopLayer"
"J1C","Right_Angle_BNC","40.0000","42.5400","55.0000","55.0000","40.0000","55.0000","270","5227661-1","TopLayer"
"J1B","Right_Angle_BNC","40.0000","42.5400","35.0000","35.0000","40.0000","35.0000","270","5227661-1","TopLayer"
"J1A","Right_Angle_BNC","40.0000","42.5400","15.0000","15.0000","40.0000","15.0000","270","5227661-1","TopLayer"
"X1","R-RJ45R10P-B000","10.0000","10.4413","45.0000","44.9875","13.8425","49.4250","270","R-RJ45R10P-B000","TopLayer"
